datetime,total bond subscription amount in hkd,bond annual interest rate,num of population above 60,money market fund nav,demand deposit hkd,time deposit hkd,hsi close price
2022-01-31,,,,100.2246,1514151.791,2349324.563,23.98
2022-02-28,,,,100.2888,1556063.414,2306983.708,22.88
2022-03-31,,,,100.3717,1553628.884,2381548.109,22.28
2022-04-30,,,,100.4372,1526738.507,2406512.714,21.22
2022-05-31,32500000000.0,2.5,223400000.0,100.5064,1492960.712,2467761.944,21.62
2022-06-30,32500000000.0,2.5,223400000.0,100.6025,1481505.363,2624704.153,22.28
2022-07-31,32500000000.0,2.5,223400000.0,100.7108,1447012.75,2679938.783,20.68
2022-08-31,32500000000.0,2.5,223400000.0,100.8477,1372453.929,2777292.985,20.5
2022-09-30,32500000000.0,2.5,223400000.0,101.0577,1308160.021,2919800.71,17.89
2022-10-31,32500000000.0,2.5,223400000.0,101.2661,1232553.11,3044773.99,14.82
2022-11-30,32500000000.0,2.5,223400000.0,101.5596,1198633.968,3364145.581,18.7
2022-12-31,32500000000.0,2.5,223400000.0,101.9997,1127806.076,3621426.533,19.92
2023-01-31,32500000000.0,2.5,223400000.0,102.3515,1174650.112,3753676.289,22.0
2023-02-28,32500000000.0,2.5,223400000.0,102.6595,1127069.748,3732237.27,19.99
2023-03-31,32500000000.0,2.5,223400000.0,103.011,1122242.431,3836845.905,20.58
2023-04-30,32500000000.0,2.5,223400000.0,103.2786,1111225.203,3809887.717,20.0
2023-05-31,32500000000.0,2.5,223400000.0,103.5433,1087658.414,3836262.983,18.48
2023-06-30,32500000000.0,2.5,223400000.0,103.9035,1043478.858,3965263.595,19.25
2023-07-31,32500000000.0,2.5,223400000.0,104.253,1052308.769,3965542.957,20.54
2023-08-31,71700000000.0,5.0,338000000.0,104.6978,1022258.06,4090330.647,18.93
2023-09-30,71700000000.0,5.0,338000000.0,105.0741,959001.054,4229161.445,18.44
2023-10-31,30000000000.0,4.75,338000000.0,105.453,970388.668,4236629.159,17.22
2023-11-30,30000000000.0,4.75,338000000.0,105.9047,962631.079,4295365.574,17.19
2023-12-31,30000000000.0,4.75,338000000.0,106.3406,958436.148,4337809.402,17.19
2024-01-31,30000000000.0,4.75,338000000.0,106.7418,946399.258,4326648.31,15.62
2024-02-29,15700000000.0,4.25,445600000.0,107.2341,946135.978,4285174.141,16.63
2024-03-31,15700000000.0,4.25,445600000.0,107.5934,931950.79,4378302.821,16.75
2024-04-30,15700000000.0,4.25,445600000.0,107.9784,948811.54,4326960.065,17.84
2024-05-31,15700000000.0,4.25,445600000.0,108.4188,950880.145,4358837.59,18.3
2024-06-30,15700000000.0,4.25,445600000.0,108.7599,948998.495,4382002.604,18.12
2024-07-31,15700000000.0,4.25,445600000.0,109.1036,1003338.136,4362175.102,17.96
2024-08-31,15700000000.0,4.25,445600000.0,109.5398,954984.135,4368717.876,18.61
2024-09-30,15700000000.0,4.25,445600000.0,109.8777,999600.779,4324432.964,21.82
2024-10-31,69900000000.0,4.0,446600000.0,110.3092,1013130.715,4358049.069,20.46
2024-11-30,69900000000.0,4.0,446600000.0,110.6338,974566.693,4340934.92,19.6
2024-12-31,17800000000.0,3.5,447600000.0,110.9464,967771.056,4431284.504,20.26
2025-01-31,17800000000.0,3.5,447600000.0,111.3099,948240.978,4559416.947,20.44
2025-02-28,17800000000.0,3.5,447600000.0,111.658,1015024.16,4519948.892,23.16
2025-03-31,17800000000.0,3.5,447600000.0,111.9631,1022301.761,4602150.95,23.46
2025-04-30,17800000000.0,3.5,447600000.0,112.2499,1018430.707,4615706.581,22.26
2025-05-31,17800000000.0,3.5,447600000.0,112.5532,1213428.706,4340447.136,23.58
2025-06-30,17800000000.0,3.5,447600000.0,112.6658,1284651.28,3947426.979,24.52
2025-07-31,17800000000.0,3.5,447600000.0,112.7537,1268375.381,3721118.566,25.26
2025-08-31,17800000000.0,3.5,447600000.0,112.8865,1173174.526,3766760.434,25.62
2025-09-30,17800000000.0,3.5,447600000.0,113.0722,1173174.526,3766760.434,27.52
2025-10-31,98200000000.0,3.85,636500000.0,113.2233,1173174.526,3766760.434,26.06
2025-11-30,98200000000.0,3.85,636500000.0,113.2233,1173174.526,3766760.434,26.1
