lag,aic,bic,log_likelihood,params,optimal_aic,optimal_bic
1,52.87948019614729,58.0924890509974,-23.439740098073646,42,False,True
2,51.53250257946384,58.38679084628107,-21.76625128973192,41,True,False
3,51.71964321472785,60.164040485297534,-20.859821607363926,40,False,False
4,52.7858161289578,62.767186005735674,-20.3929080644789,39,False,False
5,54.66697252502009,66.13007564310479,-20.333486262510046,38,False,False
6,55.74074304906343,68.62808635021723,-19.870371524531716,37,False,False
7,57.522278277234534,71.77394872333952,-19.761139138617267,36,False,False
8,58.43073712700115,73.98421774189529,-19.215368563500576,35,False,False
9,59.733345258874486,76.52331102965226,-18.866672629437243,34,False,False
10,60.99039058856853,78.9484813261663,-18.495195294284265,33,False,False
