Variable,Coefficient,Std_Error,T_Statistic,P_Value,CI_Lower,CI_Upper
const,211.27448378668268,154.28095086893066,1.3694139334555364,0.1846879513771394,-108.6846251110151,531.2335926843805
bond annual interest rate_t,0.44196604114745475,0.9211454567578442,0.479800489602416,0.6361049590830881,-1.4683727132447806,2.35230479553969
bond annual interest rate_t-1,0.23396563141812993,1.2576566689698212,0.18603299071262205,0.8541235449387384,-2.3742546630282573,2.842185925864517
bond annual interest rate_t-2,0.368641663867643,1.0208443411825014,0.36111447063577257,0.7214585350149008,-1.748459921832964,2.48574324956825
num of population above 60_t,0.4488257541030024,1.3443364965689977,0.3338641443183987,0.7416435503581608,-2.3391575003318796,3.2368090085378847
num of population above 60_t-1,-0.14790078418756708,1.680250912663104,-0.08802303457949182,0.9306547062136327,-3.6325278992807193,3.336726330905585
num of population above 60_t-2,-2.176089220140212,1.4082257350560152,-1.5452701693834996,0.13654539739693353,-5.096570645602217,0.7443922053217924
money market fund nav_t,4.850224061378845,9.954526062527671,0.48723806948849024,0.6309092735464719,-15.794199443445887,25.49464756620358
money market fund nav_t-1,2.696516324318957,11.894268365350268,0.226707203965088,0.8227446960652849,-21.970686501003673,27.363719149641586
money market fund nav_t-2,-7.093870212541799,8.321989363083134,-0.8524248113090185,0.40316317953331604,-24.352619824023595,10.164879398939998
demand deposit hkd_t,-0.2989461157346518,2.8188702569985136,-0.10605174714673271,0.916502373557081,-6.144925223639538,5.547032992170234
demand deposit hkd_t-1,0.5788923995292587,3.640324855909389,0.15902218138294302,0.8751022214555177,-6.970679277562786,8.128464076621304
demand deposit hkd_t-2,-5.588355129438234,3.3108721471812896,-1.6878800754042644,0.10556200882069423,-12.454683706751048,1.2779734478745794
time deposit hkd_t,2.7297563975094925,5.9157250304592806,0.4614407166415512,0.6490123917501012,-9.538706420285667,14.998219215304651
time deposit hkd_t-1,-6.468613674678043,7.607038080423153,-0.8503459041864316,0.40429281718132326,-22.244645076187872,9.307417726831789
time deposit hkd_t-2,-2.3237265038872286,3.978922179033213,-0.5840090354448302,0.5651549333303414,-10.575506050270164,5.928053042495708
hsi close price_t,0.08666805014032827,1.38532699703782,0.06256143879794916,0.9506806618745345,-2.7863242992567514,2.959660399537408
hsi close price_t-1,1.7960414691935713,1.4953784937113408,1.2010614548401208,0.24249917105046342,-1.3051837152372512,4.897266653624394
hsi close price_t-2,2.520560789097312,1.4035725986467558,1.795817894655034,0.08627217384437663,-0.39027062208424557,5.43139220027887
