General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Philippines,10.887489,10.395683,9.7376808,12.717706,12.167466,13.14629,14.496651,13.735405,16.02595,16.793346,13.835107,13.817321,13.300075,11.818012,11.827937,12.635568,12.77371,12.950324,13.476589,14.565557,14.147675,13.556961,15.393095,13.849888,12.405817,12.462515,15.996384,18.56092,21.461519,20.707251,22.706602,25.110584,29.61576,38.338363,40.242718,47.444696,68.353066,69.965607,60.947726,55.220409,56.184106,55.59742,53.909829,68.596604,63.602625,60.848952,53.074388,56.890602,50.773325,54.217731,59.202745,59.470941,65.18395,71.392968,71.082311,64.674293,57.188542,50.167617,50.010093,49.805296,47.586513,45.433618,45.691174,43.863144,40.299298,39.687992,37.376365,38.130096,37.147156,36.972652,51.643608,57.004626,57.388785,56.484457,57.060458
Panama,13.47352,12.552143,12.536232,13.094017,13.476563,16.048265,15.716753,16.514241,19.916143,21.64974,22.919673,27.194307,25.931062,24.986595,25.765646,25.564479,33.198887,35.656301,38.17042,30.198858,32.313293,35.336182,37.849206,40.965862,43.834618,38.00954,52,55.072691,63.101908,69.016112,74.890953,76.542305,80.860285,86.574746,82.536475,82.541651,83.990594,92.204033,105.03539,104.40368,112.6521,103.69364,91.230606,83.553504,78.366427,76.670884,65.034409,60.193502,58.137844,55.149157,53.586347,57.82223,56.981791,56.47603,58.780601,59.33002,54.740138,47.440039,40.032808,39.06729,38.109474,35.644385,34.04403,33.738145,34.733454,34.250384,33.617624,33.571981,35.59319,39.862552,61.49288,54.403834,52.702151,51.493673,56.618902
Iceland,14.551616,14.449046,13.642236,10.718979,9.255047,8.5625906,6.7108068,6.6477082,5.1131326,4.9617047,13.63206,8.4949271,7.466512,7.8944387,7.9748071,7.7793918,5.563,8.7958246,14.221076,14.641349,11.442099,11.748565,14.543656,11.46252,12.541627,16.387483,17.174001,18.375301,19.803421,21.067239,24.774048,22.372047,28.948088,30.751438,32.424858,32.016791,29.86556,27.326043,30.588221,35.286097,35.489942,37.607619,45.401092,52.29382,54.808423,58.070268,55.574695,52.047615,43.952795,76.592958,75.796302,83.382672,82.15995,85.06786,80.861399,68.931071,70.651032,68.404314,110.35666,128.77334,133.1411,138.1759,133.92495,121.9603,115.29913,97.322974,82.471489,71.742256,63.246715,66.527874,77.511551,74.915257,67.534232,61.991208,59.077272
Germany,18.811777,16.686637,15.705143,20.561889,21.810273,20.210323,18.810424,18.077472,17.935647,17.670612,16.511505,16.30565,15.851133,16.6209,16.638594,17.262295,18.055041,20.730319,20.805569,18.711402,17.660809,17.740426,17.961906,17.326166,18.523355,23.659306,25.081258,26.034977,27.368866,28.243689,30.135038,33.613711,36.438177,37.965751,38.658178,39.22932,39.087201,40.108059,40.524931,39.193367,40.736303,39.48549,41.862576,45.512365,47.874942,55.287511,58.109574,59.206529,59.808635,60.349213,59.238799,58.061561,59.823106,63.344326,64.964894,67.120191,66.396722,63.687053,65.160251,72.336274,81.008922,78.457972,79.803562,77.435095,74.520346,71.215919,68.282224,64.026225,60.809267,58.701059,68.035175,68.076818,64.997332,62.877686,63.88822
Italy,30.985153,31.419462,33.488384,34.436082,36.245068,36.2088,35.250606,34.633152,34.577334,35.805078,32.10793,30.727608,29.671921,27.867411,27.893226,29.080489,34.036151,33.853469,36.351827,36.997262,37.76759,42.447456,48.21675,51.091296,50.770501,57.899269,57.265414,55.954093,59.912763,58.870119,55.08883,57.294829,61.797134,67.816309,73.129843,79.097925,83.389922,87.406186,89.224548,91.784655,95.295572,98.643589,105.35722,115.47945,121.57852,119.08785,118.89628,116.49059,113.88689,113.05855,108.74276,108.51307,105.94745,105.14083,104.74201,106.17675,106.25696,103.4635,105.8016,116.13887,118.75559,119.12696,125.89866,131.85192,134.79525,134.78817,134.23978,133.7409,134.19834,133.89806,154.37916,145.81247,138.34522,134.63732,135.32627
United States,83.126037,72.955032,72.525492,71.753219,73.568066,68.498633,64.726033,62.329546,64.927332,62.335885,60.832947,61.393351,59.371678,57.954916,55.988829,53.060492,50.144581,50.395849,48.73687,45.939659,46.228617,46.639114,45.073158,42.257212,41.160763,44.419521,44.598714,43.301052,42.086737,40.668018,41.268459,40.390362,45.01271,47.920336,49.568908,54.205577,57.663935,59.466124,60.338227,60.455952,62.162725,66.545629,68.809346,70.796786,69.579457,69.110259,68.234457,65.839581,62.603912,59.031395,53.169404,53.331469,55.722557,58.803416,66.277188,65.607959,64.343452,64.739251,73.589542,86.786798,95.347358,99.680764,103.24415,104.52196,104.42918,104.85393,106.78034,105.72778,107.04127,108.19672,132.03249,124.71632,118.8064,118.99808,120.78568
Canada,87.749903,76.520917,70.054312,67.192534,68.277314,66.456116,58.404764,57.632371,63.096356,64.175397,64.874549,67.360435,66.641207,65.377952,62.025052,58.308955,57.071468,57.024001,56.320384,54.425403,56.74467,57.892179,56.689727,52.330526,49.502748,49.877217,42.836137,44.299541,47.117918,44.161177,44.589724,46.07713,51.706678,57.211249,60.212917,65.166256,69.32348,69.76068,69.7445,70.986777,73.744251,81.658172,88.229988,94.730248,97.480466,100.08417,100.24388,95.272492,93.290188,88.965669,80.436608,81.462033,79.604069,75.911797,71.8894,70.64041,69.919832,67.181353,70.35535,81.804123,83.976212,84.286296,87.150948,87.60508,85.540514,92.028852,92.396824,90.942246,90.776119,90.210165,118.06558,112.61731,104.20738,107.71072,110.76918
Netherlands,143.72789,123.92654,111.84604,106.24157,92.859918,83.85586,78.476066,76.043519,78.540773,76.874519,69.860181,69.008782,66.794123,64.610273,59.800392,58.38099,58.16345,57.582767,56.952527,48.183889,46.08408,43.658602,41.326412,38.115462,36.280068,36.053501,35.150885,34.917365,38.088888,39.46066,43.556597,46.877498,52.443797,58.40192,61.917569,67.093096,68.948811,71.292392,73.694593,73.740136,75.020128,74.814412,75.589688,76.665048,73.496949,73.030494,71.245873,65.696316,62.679978,58.601,52.154731,49.414111,48.692685,49.804331,50.095095,49.57984,44.960371,42.741118,54.352302,56.289781,58.897207,61.166928,65.690364,67.160631,67.16591,63.799335,60.882702,55.985728,51.521772,47.597458,53.347794,50.431271,48.345274,45.098206,43.234729
United Kingdom,179.89667,162.18009,150.14853,140.87122,135.84146,127.55345,119.0355,112.63947,108.93689,103.3618,97.938579,94.152184,90.98159,89.213628,82.645272,77.227696,74.67233,71.868372,70.964438,66.036904,73.421641,67.936117,65.039682,58.538645,56.166139,49.589365,47.683601,53.680622,47.254308,44.521022,43.709274,41.131367,44.700805,44.199324,44.139236,42.894147,42.862741,41.752464,36.584168,31.43626,28.262052,28.722,33.977266,42.115983,40.703311,45.057845,44.738476,44.132032,41.969512,40.409759,37.685691,34.957749,35.434462,36.763689,39.801548,41.000423,42.058289,43.173898,50.827372,64.915012,75.86023,81.425066,84.482601,85.316059,87.094325,87.866687,87.82519,86.722814,86.345145,85.657192,105.84011,105.13074,99.613684,100.36298,101.28941
"China, People's Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.423797,21.220679,20.394346,20.438078,21.609056,22.707831,24.252332,25.553138,26.41798,25.999898,25.910046,25.173645,28.707723,26.715032,33.984778,33.343159,33.184085,33.825236,36.437679,39.307847,40.781626,49.71999,53.903251,55.577191,59.441472,69.035362,70.146806,75.453183,82.013641,88.327128
