YEAR,DISTRICTS_CODE,DISTRICTS,SEX,AGE,OBS_VALUE
2021,A,中西區,M,0-14,12
2021,A,中西區,M,15-24,7.8
2021,A,中西區,M,25-34,12.6
2021,A,中西區,M,35-44,14.9
2021,A,中西區,M,45-54,14.4
2021,A,中西區,M,55-64,15.7
2021,A,中西區,M,25-64,57.6
2021,A,中西區,M,65+,20.2
2021,A,中西區,M,,97.6
2021,A,中西區,M,0-14,12.3
2021,A,中西區,M,15-24,8
2021,A,中西區,M,25-34,12.9
2021,A,中西區,M,35-44,15.2
2021,A,中西區,M,45-54,14.8
2021,A,中西區,M,55-64,16.1
2021,A,中西區,M,25-64,59
2021,A,中西區,M,65+,20.7
2021,A,中西區,M,,100
2021,A,中西區,F,0-14,12.2
2021,A,中西區,F,15-24,9
2021,A,中西區,F,25-34,23
2021,A,中西區,F,35-44,27.3
2021,A,中西區,F,45-54,22.4
2021,A,中西區,F,55-64,18.6
2021,A,中西區,F,25-64,91.3
2021,A,中西區,F,65+,23.4
2021,A,中西區,F,,135.9
2021,A,中西區,F,0-14,9
2021,A,中西區,F,15-24,6.6
2021,A,中西區,F,25-34,16.9
2021,A,中西區,F,35-44,20.1
2021,A,中西區,F,45-54,16.5
2021,A,中西區,F,55-64,13.7
2021,A,中西區,F,25-64,67.2
2021,A,中西區,F,65+,17.3
2021,A,中西區,F,,100
2021,A,中西區,,0-14,24.2
2021,A,中西區,,15-24,16.7
2021,A,中西區,,25-34,35.5
2021,A,中西區,,35-44,42.2
2021,A,中西區,,45-54,36.8
2021,A,中西區,,55-64,34.3
2021,A,中西區,,25-64,148.8
2021,A,中西區,,65+,43.6
2021,A,中西區,,,233.4
2021,A,中西區,,0-14,10.4
2021,A,中西區,,15-24,7.2
2021,A,中西區,,25-34,15.2
2021,A,中西區,,35-44,18.1
2021,A,中西區,,45-54,15.8
2021,A,中西區,,55-64,14.7
2021,A,中西區,,25-64,63.8
2021,A,中西區,,65+,18.7
2021,A,中西區,,,100
2021,B,灣仔區,M,0-14,8.3
2021,B,灣仔區,M,15-24,4.7
2021,B,灣仔區,M,25-34,7.6
2021,B,灣仔區,M,35-44,9.7
2021,B,灣仔區,M,45-54,10.5
2021,B,灣仔區,M,55-64,10.3
2021,B,灣仔區,M,25-64,38.1
