財政年度,直接稅,間接稅,其他收入,從各基金轉撥的款項,總收入,期內實際開支,轉撥各基金的款項,一般收入帳目總開支,財政差距
1992-1993,55061,41752,23968,0,120781,86487,15538,102025,18756
1993-1994,65439,48351,30109,0,143899,98540,22500,121040,22859
1994-1995,74295,44348,32409,0,151052,108160,39100,147260,3792
1995-1996,77419,48728,27047,0,153194,123322,32535,155857,-2663
1996-1997,83966,61518,28373,0,173857,138512,13420,151932,21925
1997-1998,91524,73051,55566,8535,228676,162483,2697,165180,63496
1998-1999,75746,44965,49682,8750,179143,179650,15044,194694,-15551
1999-2000,66914,49781,40409,5000,162104,178247,13031,191278,-29174
2000-2001,73870,57123,41741,6000,178734,188551,3629,192180,-13446
2001-2002,77749,51977,26813,0,156539,200687,26,200713,-44174
2002-2003,73028,44367,26823,3300,147518,202215,13019,215234,-67716
2003-2004,80474,52039,28261,134000,294774,205020,34014,239034,55740
2004-2005,96709,59594,28834,44500,229637,198451,20,198471,31166
2005-2006,111752,63837,29392,0,204981,193818,4028,197846,7135
2006-2007,115318,73003,38504,2100,228925,195514,66,195580,33345
2007-2008,133729,96316,44835,31600,306480,207019,767,207786,98694
2008-2009,146143,72269,53025,1800,273237,260444,350,260794,12443
2009-2010,123184,84681,50794,0,258659,237236,59,237295,21364
2010-2011,143007,98519,48763,0,290289,242293,377,242670,47619
2011-2012,176822,98293,55706,1800,332621,299519,0,299519,33102
2012-2013,182442,97121,70137,500,350200,306087,52,306139,44061
2013-2014,183506,104559,60169,1000,349234,340275,10893,351168,-1934
2014-2015,204950,149076,41735,2000,397761,319162,2529,321691,76070
2015-2016,205883,138715,39423,0,384021,351211,3180,354391,29630
2016-2017,206907,141029,88090,0,436026,357253,23864,381117,54909
2017-2018,208729,172790,62812,0,444331,375123,4350,379473,64858
2018-2019,236353,153907,74689,80000,544949,438148,22600,460748,84201
2019-2020,214119,139234,82985,55000,491338,528614,7074,535688,-44350
2020-2021,220818,155411,86905,84000,547134,725032,25477,750509,-203375
2021-2022,253348,173739,66156,35000,528243,597021,11364,608385,-80142
2022-2023,264265,140870,62384,100000,567519,697780,4771,702551,-135032
2023-2024,261596,136592,58058,50000,506246,608744,5133,613877,-107631
2024-2025,278773,152682,74238,117000,622693,604834,165,604999,17694
