財政年度,,,,2020-2021,2021-2022,2022-2023,2023-2024
經營開支,經常開支,個人薪酬,經營開支 - 經常開支 - 個人薪酬,87617,88041,90895,94538
經營開支,經常開支,與員工有關連的開支,經營開支 - 經常開支 - 與員工有關連的開支,10174,11290,12602,13789
經營開支,經常開支,退休金,經營開支 - 經常開支 - 退休金,42689,43653,45597,47838
經營開支,經常開支,部門開支,經營開支 - 經常開支 - 部門開支,45155,53696,72532,53600
經營開支,經常開支,其他費用 - 政府一般收入帳目,經營開支 - 經常開支 - 其他費用 - 政府一般收入帳目,93083,101185,110430,116498
經營開支,經常開支,其他費用 - 土地基金,經營開支 - 經常開支 - 其他費用 - 土地基金,,1,7,4
經營開支,經常開支,資助金,經營開支 - 經常開支 - 資助金,188376,195336,207799,212842
經營開支,非經常開支,政府一般收入帳目,經營開支 - 非經常開支 - 政府一般收入帳目,251911,96758,150066,62012
經營開支,非經常開支,土地基金,經營開支 - 非經常開支 - 土地基金,39,,14,2
經營開支,總計,總計,經營開支 - 總計 - 總計,719044,589960,689942,601123
非經營開支,機器、設備及工程,,非經營開支 - 機器、設備及工程 - ,2935,3814,3996,4172
非經營開支,資助金,,非經營開支 - 資助金 - ,3092,3248,3863,3455
非經營開支,基金,基本工程儲備基金,非經營開支 - 基金 - 基本工程儲備基金,77172,84543,98401,99442
非經營開支,基金,資本投資基金,非經營開支 - 基金 - 資本投資基金,2594,1604,5044,2731
非經營開支,基金,貸款基金,非經營開支 - 基金 - 貸款基金,2737,3409,2137,2237
非經營開支,基金,賑災基金,非經營開支 - 基金 - 賑災基金,72,29,64,139
非經營開支,基金,創新及科技基金,非經營開支 - 基金 - 創新及科技基金,4796,3648,4643,5904
非經營開支,基金,獎券基金,非經營開支 - 基金 - 獎券基金,3633,3084,2387,2098
非經營開支,總計,總計,非經營開支 - 總計 - 總計,97031,103379,120535,120178
政府開支總額,政府開支總額,政府開支總額,政府開支總額 - 政府開支總額 - 政府開支總額,816075,693339,810477,721301
