year_of_birth,num_of_population
1961,110.9
1962,112.5
1963,114.6
1964,107.6
1965,101.1
1966,91.8
1967,88.2
1968,82.7
1969,82.5
1970,79.1
1971,79.8
1972,80.3
1973,82.3
1974,83.6
1975,79.8
1976,78.5
1977,80
1978,81
1979,82
1980,85.3
1981,86.8
1982,86.1
1983,83.3
1984,77.3
1985,76.1
1986,71.6
1987,70
1988,75.4
1989,69.6
1990,67.7
1991,68.3
1992,70.9
1993,70.5
1994,71.6
1995,68.6
1996,63.3
1997,59.3
1998,53
1999,51.3
2000,54.1
2001,48.2
2002,48.2
2003,47
2004,49.8
2005,57.1
2006,65.6
2007,70.9
2008,78.8
2009,82.1
2010,88.6
2011,95.5
2012,91.6
2013,57.1
2014,62.3
2015,59.9
2016,60.8
2017,56.6
