項目名稱,位置
元朗淨水設施第1階段,元朗
搬遷沙田污水處理廠往岩洞,沙田
石湖墟淨水設施,上水
古洞北新發展區區域供冷系統,古洞北
綠在灣仔,灣仔
大埔第1區體育館、社區會堂及足球場,大埔
北區社區健康中心大樓,上水
啟德發展區新急症醫院,啟德
觀塘污水泵房優化工程,觀塘
上水及粉嶺新房屋發展供水計劃,上水及粉嶺
建設「智管網」,全香港
屯門污水幹渠修復工程,屯門
九龍中部及東部污水收集系統改善工程－第3期,九龍中部及東部
南丫鄉村污水收集系統第2期第2部分,南丫島
元朗污水主幹泵喉建造及修復工程,元朗
䃟石灣污水處理廠及貝澳污水收集系統,貝澳
長沙灣天主教小學校舍,長沙灣
救世軍中原慈善基金皇后山學校校舍,粉嶺
東華三院蔡榮星小學校舍,沙田
沙宣道3號教學大樓,薄扶林
消防處西九龍綜合大樓,佐敦
啟德體育園,啟德
將軍澳第72區消防局暨救護站、部門宿舍及消防設施,將軍澳
聖母醫院重建計劃,黃大仙
威爾斯親王醫院重建計劃第二期(第一階段),沙田
更換大帽山的風暴探測天氣雷達,大帽山山頂
地下雨水渠修復工程,全香港
大埔滘污水泵喉建造及修復工程,大埔滘
提升新界東北污水收集系統,新界東北
離島污水收集系統第2階段－坪洲鄉村污水收集系統第2期第1部分,坪洲
牛尾海污水收集系統第二及第三階段工程,西貢
牛潭尾濾水廠擴展工程,牛潭尾
瑪嘉烈醫院荔景大樓擴建計劃,荔景
觀塘綜合發展項目,觀塘
文物修復資源中心,天水圍
安達臣道石礦場(地盤G2)聯用大樓,西貢
青衣VTC航空及航海教育中心,青衣
香港大學–大學道2號重建工程(一號樓),西營盤
香港教育大學–大埔校園內的新教學大樓,大埔
將軍澳中醫醫院,將軍澳
在將軍澳的政府中藥檢測中心,將軍澳
幼稚園教育中心(小西灣),小西灣
廣華醫院重建計劃,旺角
馬鞍山第103區綜合設施大樓,馬鞍山
中華基督教會全完第一小學校舍,荃灣
浸信會孔憲紹天虹小學校舍,啟德
迦密梁省德學校校舍,觀塘
安博官立小學校舍及1所幼稚園,西貢
石門靈灰安置所及紀念花園,沙田
香港科技大學–新科研樓1,清水灣
香港科技大學–新科研樓2,清水灣
尖沙咀雨水排放系統改善工程,尖沙咀
元朗市明渠改善工程(市區中心段),元朗
元朗區雨水排放系統改善工程,元朗
東涌新市鎮擴展（東）區域供冷系統,東涌新市鎮擴展（東）
I •PARK1,近石鼓洲
O •PARK1,大嶼山小蠔灣
西九龍政府合署,油麻地
稅務中心,啟德
新圍污水處理廠改善工程–第1期,元朗
在東涌及小蠔灣之間增建一條加壓污水管及修復現有加壓污水管,東涌及小蠔灣之間
啟德發展區區域供冷系統,啟德
O •PARK2,北區
庫務大樓,長沙灣
瑪麗醫院第一期重建計劃,薄扶林
東九文化中心,下牛頭角
西九龍雨水排放系統改善計劃–水塘間轉運隧道計劃,九龍副水塘及下城門水塘
沙頭角污水處理廠第1期擴建工程,沙頭角
啟德發展區新增的區域供冷系統,啟德
消防處百勝角已婚人員宿舍,將軍澳
慈雲山香港海關職員宿舍,慈雲山
重置香港郵政總部,九龍灣
葵涌醫院重建工程第二期,葵涌
將軍澳第123區寶琳路香港海關職員宿舍,將軍澳
醫院管理局支援服務中心,東涌
水務署大樓及懲教總部大樓,柴灣
渠務大樓,長沙灣
將軍澳政府合署,將軍澳
九龍、沙田及西貢污水幹渠修復工程,九龍、沙田及西貢
觀塘基本污水處理廠改善工程,觀塘
九龍西部及荃灣污水系統改善工程－第1期,西九龍及荃灣
建造櫻桃街箱形雨水渠旱季截流器,近新油麻地避風塘
活化翠屏河,觀塘
九龍西部及荃灣污水系統改善工程－第2期,西九龍及荃灣
小蠔灣濾水廠擴展工程,小蠔灣
屯門醫院手術室大樓擴建計劃,屯門
鯉景道綜合大樓,西灣河
汀角路污水泵房及污水收集系統改善工程,大埔
沙田濾水廠原地重置工程（南廠）,沙田
立體空氣質素監測網絡,四個監測點設於香港外圍； 第五個監測點設於市中心
長洲污水處理及排放改善工程,長洲
油塘污水主幹泵喉建造及修復工程,油塘
上水及粉嶺再造水供應工程,上水及粉嶺
東華三院曾憲備小學校舍,粉嶺
瑪利諾中學校舍,觀塘
啟德發展區的動物管理及動物福利綜合大樓,啟德
葛量洪醫院重建計劃第一期,黃竹坑
基督教聯合醫院擴建計劃,觀塘
香港天文台高性能電腦系統,長沙灣
離島污水收集系統第2階段－擴展污水收集系統至梅窩其他未有污水設施的鄉村,梅窩
長沙灣污水主幹泵喉建造及修復工程,長沙灣
屯門北部鄉村污水收集系統,屯門
北區醫院擴建計劃,上水
四美街地區休憩用地、體育館及公眾停車場,新蒲崗
九龍塘聯福道2所特殊學校校舍,九龍塘
香港中文大學–綜合科研實驗大樓(第2座),沙田
天水圍公眾街市,天水圍
香港理工大學–何文田斜坡校園擴建工程,何文田
位於高超道的普通科門診診所及兒童體能智力測驗中心,油塘
香港道教聯合會雲泉學校校舍,觀塘
保良局蕭漢森小學校舍,沙田
五旬節聖潔會永光小學校舍,大埔
歷史檔案中心,觀塘
元朗防洪壩計劃,元朗
觀塘雨水排放系統改善工程–第1期,觀塘
北區雨水排放系統改善工程–第一階段,北區
