Field Name,描述(繁體中文)
estate,主要屋苑
estate_eng,主要屋苑（英文名稱）
estate_chi,主要屋苑（中文名稱）
t_pop,總人口
pop_m,總人口 - 男性
pop_f,總人口 - 女性
sr,性別比率（男性數目與每千名女性相對的比率）
age_1,15歲以下人口
age_2,15至24歲人口
age_3,25至44歲人口
age_4,45至64歲人口
age_5,65歲及以上人口
t_ma,年齡中位數
ma_m,年齡中位數 - 男性
ma_f,年齡中位數 - 女性
born_hk,在香港出生的人口
born_chi,在中國內地／澳門／台灣出生的人口
born_else,在其他地方出生的人口
ethn_chi,種族為華人的人口
ethn_phi,種族為菲律賓人的人口
ethn_ind,種族為印尼人的人口
ethn_wh,種族為白人的人口
ethn_oth,其他種族的人口（包括報稱有多過一個種族的人士）
ms_nm_m,15歲及以上男性人口 - 從未結婚
ms_ma_m,15歲及以上男性人口 - 已婚
ms_wds_m,15歲及以上男性人口 - 喪偶／離婚／分居
ms_nm_f,15歲及以上女性人口 - 從未結婚
ms_m_f,15歲及以上女性人口 - 已婚
ms_wds_f,15歲及以上女性人口 - 喪偶／離婚／分居
ul_can,5歲及以上人口（不包括失去語言能力的人士） - 慣用交談語言：廣州話
ul_put,5歲及以上人口（不包括失去語言能力的人士） - 慣用交談語言：普通話
ul_othchi,5歲及以上人口（不包括失去語言能力的人士） - 慣用交談語言：其他中國方言
ul_eng,5歲及以上人口（不包括失去語言能力的人士） - 慣用交談語言：英語
ul_oth,5歲及以上人口（不包括失去語言能力的人士） - 慣用交談語言：其他語言
readchi_ablepctn,能閱讀中文的5歲及以上人口比例
readeng_ablepctn,能閱讀英文的5歲及以上人口比例
writechi_ablepctn,能書寫中文的5歲及以上人口比例
writeeng_ablepctn,能書寫英文的5歲及以上人口比例
edu_pri_be,15歲及以上人口 - 教育程度（最高就讀程度）：小學及以下
edu_sec,15歲及以上人口 - 教育程度（最高就讀程度）：中學
edu_psec,15歲及以上人口 - 教育程度（最高就讀程度）：專上教育
pls_same,於香港院校就讀全日制課程的人口 - 同區就讀（包括（a）在香港島或九龍居住並在同一區議會分區內上課的人士，（b）在新市鎮居住並在同一新市鎮上課的人士，及（c）在新界其他地方居住並在同一區議會分區非新市鎮地區內上課的人士）
pls_diff_hk,於香港院校就讀全日制課程的人口 - 跨區就讀（上課地點為香港島）
pls_diff_kln,於香港院校就讀全日制課程的人口 - 跨區就讀（上課地點為九龍）
pls_diff_nt,於香港院校就讀全日制課程的人口 - 跨區就讀（上課地點為新市鎮）
s_diff_oth,於香港院校就讀全日制課程的人口 - 跨區就讀（上課地點為新界其他地區）
t_wp,工作人口
wp_ee,工作人口 - 僱員（包括外發工）
wp_er,工作人口 - 僱主
wp_se,工作人口 - 自營作業者
wp_fw,工作人口 - 無酬家庭從業員
t_nwp,非工作人口
nwp_hm,非工作人口（2021年人口普查所採用非從事經濟活動人口的經濟活動身分分類（即「料理家務者」、「學生」、「退休人士」、「無酬照顧者」及「其他」），跟2011年人口普查及2016年中期人口統計所採用的分類（即「料理家務者」、「學生」、「退休人士」及「其他」）稍有分別，因此2021年統計數字與2011年及／或2016年統計數字作比較時須加以留意）- 料理家務者
nwp_st,非工作人口（2021年人口普查所採用非從事經濟活動人口的經濟活動身分分類（即「料理家務者」、「學生」、「退休人士」、「無酬照顧者」及「其他」），跟2011年人口普查及2016年中期人口統計所採用的分類（即「料理家務者」、「學生」、「退休人士」及「其他」）稍有分別，因此2021年統計數字與2011年及／或2016年統計數字作比較時須加以留意）- 學生
nwp_re,非工作人口（2021年人口普查所採用非從事經濟活動人口的經濟活動身分分類（即「料理家務者」、「學生」、「退休人士」、「無酬照顧者」及「其他」），跟2011年人口普查及2016年中期人口統計所採用的分類（即「料理家務者」、「學生」、「退休人士」及「其他」）稍有分別，因此2021年統計數字與2011年及／或2016年統計數字作比較時須加以留意） - 退休人士
nwp_care,非工作人口（2021年人口普查所採用非從事經濟活動人口的經濟活動身分分類（即「料理家務者」、「學生」、「退休人士」、「無酬照顧者」及「其他」），跟2011年人口普查及2016年中期人口統計所採用的分類（即「料理家務者」、「學生」、「退休人士」及「其他」）稍有分別，因此2021年統計數字與2011年及／或2016年統計數字作比較時須加以留意） - 無酬照顧者（須無酬照顧親人或其他人士（包括長期病患、殘疾或年長／年幼的人士）的人）
